original,replacement,weight
p,n,0.049479166666666664
r,e,0.11344065892923999
p,e,0.10026041666666667
r,c,0.008985398727068513
r,",",0.005615874204417821
p,d,0.006510416666666667
p, ,0.12760416666666666
r,g,0.07450393111194309
p,q,0.033854166666666664
p,s,0.08203125
r,:,0.026581804567577687
p,r,0.09505208333333333
r,a,0.0984649943841258
p,m,0.078125
r, ,0.14376637963309621
p,a,0.08984375
p,v,0.0026041666666666665
r,i,0.07562710595282665
p,g,0.07421875
p,i,0.07552083333333333
r,m,0.07263197304380382
r,l,0.04679895170348184
p,:,0.03125
r,s,0.07375514788468739
p,c,0.005208333333333333
p,o,0.020833333333333332
r,v,0.005241482590789966
r,n,0.04867090977162111
r,p,0.0033695245226506927
r,t,0.04342942718083115
r,q,0.03332085361287907
r,o,0.02920254586297267
p,t,0.046875
p,l,0.037760416666666664
r,d,0.0157244477723699
p,",",0.00390625
h,p,0.00646551724137931
p,u,0.0078125
p,h,0.005208333333333333
h,d,0.00603448275862069
2,4,0.012340301974448315
8,4,0.009686464440479225
2,1,0.015824622531939603
8,1,0.016314045373438696
s,c,0.006285355122564425
s,u,0.011313639220615965
u,z,0.0029615004935834156
s,o,0.013827781269641735
s,",",0.010685103708359522
s,z,0.0018856065367693275
m,e,0.1089820359281437
m,n,0.04131736526946108
m, ,0.13592814371257486
m,t,0.05149700598802395
m,q,0.03652694610778443
m,w,0.008982035928143712
m,s,0.08622754491017964
m,r,0.09520958083832336
m,a,0.11197604790419162
m,i,0.07305389221556886
m,g,0.07125748502994012
m,u,0.007784431137724551
m,:,0.02874251497005988
m,p,0.005389221556886228
u,p,0.007897334649555774
m,o,0.025149700598802394
u,w,0.0029615004935834156
m,l,0.048502994011976046
l,n,0.04157706093189964
l,e,0.12186379928315412
l,i,0.07096774193548387
l, ,0.14408602150537633
l,u,0.005734767025089606
l,q,0.035842293906810034
l,s,0.06594982078853047
l,r,0.08888888888888889
l,m,0.07240143369175628
l,a,0.1032258064516129
l,g,0.06379928315412187
a,u,0.003149987884661982
l,:,0.025806451612903226
l,t,0.03799283154121864
n,i,0.08527131782945736
i,c,0.004022121669180492
n,:,0.031007751937984496
n,a,0.11627906976744186
n, ,0.12790697674418605
n,h,0.003875968992248062
i,o,0.02212166918049271
n,o,0.031007751937984496
n,l,0.04263565891472868
i,d,0.011060834590246356
n,s,0.08139534883720931
n,d,0.007751937984496124
n,c,0.003875968992248062
i,h,0.006535947712418301
7,4,0.009265387160820648
8,G,0.0012745347947998981
2,G,0.0008710801393728223
8,6,0.009176650522559266
l,h,0.012903225806451613
l,z,0.01003584229390681
e,z,0.005646817248459959
c,h,0.028182245185533115
c,p,0.005166744950681071
8,0,0.014784603619678817
 ,a,0.3333333333333333
 ,i,0.16666666666666666
 ,d,0.16666666666666666
 ,n,0.3333333333333333
h,c,0.02586206896551724
u,b,0.011846001974333662
b,u,0.01008533747090768
j,e,0.09747292418772563
j,q,0.03369434416365824
j,s,0.09265944645006016
j,r,0.06738868832731648
j,m,0.07581227436823104
j,i,0.06498194945848375
j,g,0.05776173285198556
j,:,0.027677496991576414
j,t,0.0457280385078219
e,.,0.003593429158110883
d,v,0.008858267716535433
e,v,0.005646817248459959
r,f,0.005615874204417821
a,f,0.002665374363944754
o,c,0.012114918656974732
o,e,0.09207338179300796
o,r,0.11041883004499826
o,g,0.06992038767739703
o,:,0.028729664243682937
o,a,0.07511249567324334
o,m,0.06992038767739703
l,d,0.02007168458781362
o, ,0.15126341294565593
l,c,0.014336917562724014
o,h,0.008999653859466944
o,l,0.0446521287642783
o,s,0.07061266874350987
o,n,0.05365178262374524
o,d,0.01107649705780547
o,i,0.06853582554517133
o,t,0.04222914503288335
o,q,0.03876773970231914
l,o,0.011469534050179211
s,y,0.00754242614707731
a,",",0.004361521686455052
e,d,0.01591375770020534
k,o,0.00881057268722467
k,h,0.022026431718061675
k,_,0.0022026431718061676
r,k,0.005990265818045676
k,t,0.046255506607929514
k,/,0.006607929515418502
k,c,0.00881057268722467
k,:,0.01762114537444934
r,/,0.001497566454511419
k,i,0.05726872246696035
k,p,0.013215859030837005
k,g,0.06828193832599119
k,n,0.05286343612334802
k,b,0.011013215859030838
r,.,0.0018719580681392737
k,.,0.0022026431718061676
r,,0.00037439161362785476
k,u,0.013215859030837005
k,m,0.06828193832599119
k,,0.004405286343612335
r,h,0.019093972295020592
k,a,0.11674008810572688
k,r,0.07929515418502203
r,u,0.00636465743167353
k,e,0.08370044052863436
r,_,0.00037439161362785476
r,b,0.011606140022463497
g,r,0.11307053941908714
g,a,0.11410788381742738
g,m,0.07883817427385892
g,n,0.05912863070539419
g, ,0.0954356846473029
g,s,0.08921161825726141
u,h,0.02073050345508391
g,y,0.005186721991701245
g,q,0.026970954356846474
n,e,0.12790697674418605
n,q,0.031007751937984496
n,r,0.10077519379844961
n,m,0.08527131782945736
n,g,0.07364341085271318
n,t,0.03875968992248062
l,y,0.016487455197132617
a,h,0.015992246183668523
l,b,0.01003584229390681
a,w,0.00726920281075842
b,v,0.004654771140418929
a,.,0.00121153380179307
m,.,0.0023952095808383233
r,z,0.0033695245226506927
o,z,0.00034614053305642093
8,d,0.0050981391791995925
c,_,0.0009394081728511038
i,k,0.012066365007541479
r,y,0.010857356795207787
2,.,0.0005807200929152149
8,.,0.0010196278358399185
8,",",0.010451185317359163
8,5,0.00662758093295947
2,",",0.0040650406504065045
f,g,0.06724782067247821
f,r,0.0921544209215442
f, ,0.12453300124533001
o,b,0.008653513326410523
f,o,0.021170610211706103
f,a,0.10460772104607721
o,f,0.0027691242644513675
f,t,0.043586550435865505
f,b,0.0012453300124533001
e,c,0.009753593429158111
m,c,0.011377245508982036
e,k,0.006673511293634497
m,k,0.005988023952095809
8,|,0.0005098139179199592
2,|,0.00014518002322880372
d,h,0.00984251968503937
j,h,0.01444043321299639
o,j,0.005538248528902735
j,o,0.02527075812274368
m,d,0.010179640718562874
g,e,0.11825726141078838
g,b,0.01970954356846473
g,o,0.04045643153526971
g,i,0.06639004149377593
g,d,0.011410788381742738
g,:,0.03112033195020747
g,l,0.05186721991701245
g,t,0.03630705394190872
b,c,0.003878975950349108
i,",",0.007541478129713424
h,",",0.004310344827586207
p,k,0.010416666666666666
e,",",0.006160164271047228
e,p,0.00513347022587269
r,w,0.0033695245226506927
s,k,0.00251414204902577
s,p,0.0056568196103079825
i,p,0.004022121669180492
o,y,0.006922810661128418
b,k,0.003878975950349108
o,k,0.003461405330564209
o,u,0.006922810661128418
a,x,0.000969227041434456
a,v,0.006299975769323964
s,x,0.001257071024512885
s,v,0.009428032683846637
s,d,0.011313639220615965
f,k,0.0161892901618929
f,n,0.0547945205479452
f,e,0.10336239103362391
f,q,0.031133250311332503
f,s,0.06724782067247821
f,m,0.08343711083437111
f,i,0.0759651307596513
