original,replacement,weight
r,t,0.0008620689655172414
3,D,0.0006701289998324678
z,3,0.008869179600886918
g,b,0.001697792869269949
2,L,0.003066962003748509
W,Y,0.0012406947890818859
C,e,0.01897642323174238
n,r,0.0026343519494204425
o,D,0.03648068669527897
1,f,0.000315955766192733
h,H,0.008113590263691683
1,Y,0.000315955766192733
e,2,0.0009775171065493646
k,R,0.008583690987124463
I,L,0.001464844
t,6,0.0006745362563237774
7,4,0.0004886789379377749
l,S,0.0003944773175542406
g,8,0.022071307300509338
0,8,0.0005192107995846313
O,g,0.00024061597690086623
g,Y,0.001697792869269949
v,y,0.014957264957264958
1,r,0.000631911532385466
6,o,0.00017528483786152498
9,i,0.00017587055926837847
2,g,0.003066962003748509
r,U,0.0004310344827586207
A,a,0.003766478342749529
J,D,0.003194888178913738
s,e,0.002288329519450801
g,G,0.015280135823429542
A,t,0.0018832391713747645
5,r,0.001348747591522158
y,g,0.013123359580052493
E,e,0.004700352526439483
V,r,0.008793969849246231
L,i,0.0024691358024691358
0,n,0.0008653513326410523
w,S,0.0021413276231263384
n,h,0.00684931506849315
a,Q,0.021289537712895375
5,v,0.0001926782273603083
2,U,0.0001703867779860283
j,t,0.0031545741324921135
L,c,0.011111111111111112
3,i,0.00016753224995811694
X,Y,0.006944444444444444
4,a,0.001779676098949991
1,t,0.0007898894154818325
q,a,0.02178217821782178
t,J,0.0003372681281618887
M,A,0.0006734006734006734
X,p,0.0023148148148148147
7,n,0.0032578595862518323
P,D,0.00572655690765927
N,D,0.0014803849000740192
t,7,0.001011804384485666
E,8,0.0011750881316098707
8,R,0.0007101011894194922
Q,0,0.007263922518159807
y,V,0.007874015748031496
Q,q,0.01937046004842615
5,6,0.001348747591522158
5,E,0.0005780346820809249
d,D,0.0041592394533571005
8,x,0.0008876264867743654
1,C,0.0001579778830963665
t,r,0.004384485666104553
M,H,0.007407407407407408
Y,4,0.011278195488721804
z,2,0.03547671840354767
n,R,0.0026343519494204425
C,G,0.002875215641173088
P,T,0.0007158196134574087
P,Q,0.0014316392269148174
J,3,0.001597444089456869
a,e,0.0018248175182481751
3,B,0.004020773998994806
A,Q,0.0009416195856873823
0,Q,0.003115264797507788
X,k,0.004629629629629629
i,x,0.00234192037470726
S,6,0.0005701254275940707
O,a,0.0007218479307025986
4,x,0.0010678056593699946
7,Y,0.0016289297931259162
k,V,0.002145922746781116
v,U,0.02564102564102564
O,C,0.00024061597690086623
t,d,0.001011804384485666
Y,v,0.006265664160401002
D,o,0.01540436456996149
8,f,0.0007101011894194922
D,N,0.0012836970474967907
8,5,0.0007101011894194922
S,g,0.005131128848346636
W,h,0.0012406947890818859
D,3,0.0012836970474967907
s,J,0.002288329519450801
F,S,0.0020833333333333333
T,F,0.0006345177664974619
0,V,0.00034614053305642093
r,e,0.0017241379310344827
t,j,0.0003372681281618887
3,j,0.00217791924945552
S,t,0.00028506271379703536
3,q,0.00016753224995811694
0,p,0.0006922810661128419
2,R,0.0006815471119441132
4,G,0.0005339028296849973
6,Q,0.00035056967572304995
5,K,0.0001926782273603083
j,g,0.006309148264984227
x,2,0.00425531914893617
J,U,0.004792332268370607
S,3,0.0005701254275940707
v,u,0.008547008547008548
Q,G,0.012106537530266344
H,f,0.0019193857965451055
J,f,0.001597444089456869
t,h,0.0003372681281618887
N,r,0.0007401924500370096
8,Q,0.0008876264867743654
Z,3,0.0021551724137931034
2,D,0.001192707445902198
K,Y,0.005235602094240838
y,u,0.01837270341207349
l,Y,0.0007889546351084812
K,n,0.005235602094240838
u,w,0.008298755186721992
C,a,0.0005750431282346176
e,Q,0.0004887585532746823
j,F,0.0031545741324921135
0,d,0.0010384215991692627
Y,q,0.0012531328320802004
3,7,0.0011727257497068187
S,h,0.00028506271379703536
r,C,0.001293103448275862
4,N,0.0001779676098949991
A,k,0.002824858757062147
v,j,0.004273504273504274
t,z,0.002023608768971332
n,u,0.002107481559536354
h,6,0.0033806626098715348
